hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
10995133054977	10	0	1	0	0	1	1:1	1	1
7696614949380	7	0	2	0	2	4	2:5,0:2,1:1,3:3	11	4
8800387990016	8	1	0	0	2	0	1:1,3:1	2	2
7696598172164	7	0	1	0	2	4	1:1,2:1	2	2
4398046642691	4	0	0	2	2	3	0:2,3:3,1:3,2:2	10	4
6597086544130	6	0	1	0	1	2	2:1,3:2	3	2
5497575047682	5	0	1	2	2	2	2:1,1:1	2	2
7700876362755	7	1	0	0	4	3	3:1	1	1
8800404766723	8	1	1	0	0	3	0:1	1	1
6597103321344	6	0	2	0	1	0	0:1,1:1,2:1	3	3
10995116409346	10	0	0	2	2	2	1:2,2:1,3:3,0:1	7	4
4398080065793	4	0	2	0	1	1	1:1,2:3,3:1	5	3
8796093022209	8	0	0	0	0	1	3:1,1:2	3	2
6605676609795	6	2	1	2	1	3	2:2,3:1,1:1	4	3
7696598238208	7	0	1	1	4	0	1:1	1	1
8800421609730	8	1	2	1	1	2	1:1,2:2	3	2
6597069767937	6	0	0	0	5	1	1:1	1	1
9904194651393	9	2	0	1	5	1	1:1	1	1
9899899748354	9	1	0	2	0	2	1:1	1	1
9904194584834	9	2	0	0	1	2	0:2,2:5	7	2
3298534949633	3	0	0	1	3	1	0:6,1:8,3:4,2:7	25	4
5506148073729	5	2	0	0	1	1	0:2	2	1
4398046577412	4	0	0	1	3	4	1:1	1	1
10995116409601	10	0	0	2	3	1	2:1,3:3	4	2
5497558270980	5	0	0	2	4	4	2:1	1	1
6597069832960	6	0	0	1	3	0	3:1	1	1
8804716577283	8	2	2	1	2	3	0:2,2:2,1:1	5	3
4406636578051	4	2	0	2	5	3	1:1	1	1
7696615080449	7	0	2	2	2	1	2:1	1	1
5506148140035	5	2	0	1	4	3	2:1	1	1
9895604781568	9	0	0	2	2	0	0:1,2:1	2	2
6601364734720	6	1	0	0	3	0	2:1	1	1
5497558270209	5	0	0	2	1	1	0:1,1:1	2	2
8804683022850	8	2	0	1	2	2	1:3,3:1,0:1,2:1	6	4
7696581460483	7	0	0	1	2	3	2:2,1:1	3	2
6605693255937	6	2	2	0	1	1	1:1,3:1	2	2
2199023256324	2	0	0	0	3	4	2:1	1	1
5497575047425	5	0	1	2	1	1	2:1	1	1
3298568438533	3	0	2	0	3	5	1:1	1	1
6597069767169	6	0	0	0	2	1	0:1,3:4,1:1,2:5	11	4
9899916395265	9	1	1	0	3	1	1:1	1	1
8800421544452	8	1	2	0	2	4	3:1	1	1
8804683089155	8	2	0	2	5	3	1:1	1	1
10995133121026	10	0	1	1	2	2	0:2,2:2	4	2
9895638336000	9	0	2	2	2	0	2:1,3:1	2	2
8804682957826	8	2	0	0	4	2	3:1	1	1
5497591759364	5	0	2	1	2	4	2:2,0:1,1:1	4	3
4406653223425	4	2	1	0	2	1	2:1	1	1
7700893139457	7	1	1	0	2	1	3:1	1	1
7705171329280	7	2	0	0	1	0	3:2	2	1
5501853238019	5	1	0	2	3	3	3:1,1:4	5	2
4398080131585	4	0	2	1	2	1	3:1	1	1
9899899748353	9	1	0	2	0	1	2:1	1	1
8804699865347	8	2	1	2	1	3	1:2,0:3	5	2
4398046577668	4	0	0	1	4	4	2:1,0:1	2	2
4398080066305	4	0	2	0	3	1	1:1,3:1,2:1	3	3
10995116409091	10	0	0	2	1	3	1:2	2	1
5501886791939	5	1	2	2	1	3	3:3,1:4,0:8,2:10	25	4
9899899617540	9	1	0	0	1	4	2:2	2	1
9904211427842	9	2	1	1	2	2	1:2	2	1
6597103386885	6	0	2	1	1	5	3:1	1	1
5501853238275	5	1	0	2	4	3	3:2	2	1
10995133186050	10	0	1	2	0	2	1:2	2	1
9899916394755	9	1	1	0	1	3	2:1	1	1
4398046511364	4	0	0	0	1	4	2:1,3:1	2	2
7705204884480	7	2	2	0	4	0	3:1	1	1
8796093088260	8	0	0	1	2	4	1:2,2:1	3	2
4406636577025	4	2	0	2	1	1	0:1	1	1
5497591693826	5	0	2	0	2	2	3:4,0:1,1:1,2:2	8	4
9904194585600	9	2	0	0	4	0	3:1	1	1
3307124949765	3	2	0	2	3	5	0:1	1	1
5497558139394	5	0	0	0	2	2	0:2,1:2,3:2,2:4	10	4
8804716577538	8	2	2	1	3	2	0:1,1:1,2:1	3	3
7705171395587	7	2	0	1	4	3	0:1	1	1
3302846759171	3	1	1	2	1	3	0:1	1	1
5506164982529	5	2	1	2	3	1	2:3,3:1,0:2	6	3
7696598303489	7	0	1	2	3	1	0:1,2:2	3	2
5506148074242	5	2	0	0	3	2	3:2,2:5,1:5,0:2	14	4
